id,signature,cost,arch,isa,datatype,version
0,2_0,1.0,cascadelake,avx2,float,0
1,2_1,0.5,cascadelake,avx2,float,0
2,3_0_0,2.0,cascadelake,avx2,float,0
3,3_0_1,1.0,cascadelake,avx2,float,0
4,3_1_0,1.0,cascadelake,avx2,float,0
5,3_1_1,0.5,cascadelake,avx2,float,0
6,4_0_0_0,3.0,cascadelake,avx2,float,0
7,4_0_0_1,2.0,cascadelake,avx2,float,0
8,4_0_1_0,3.0,cascadelake,avx2,float,0
9,4_0_1_1,1.0,cascadelake,avx2,float,0
10,4_1_0_0,3.0,cascadelake,avx2,float,0
11,4_1_0_1,2.0,cascadelake,avx2,float,0
12,4_1_1_0,1.0,cascadelake,avx2,float,0
13,4_1_1_1,0.5,cascadelake,avx2,float,0
14,5_0_0_0_0,4.0,cascadelake,avx2,float,0
15,5_0_0_0_1,3.0,cascadelake,avx2,float,0
16,5_0_0_1_0,4.0,cascadelake,avx2,float,0
17,5_0_0_1_1,2.0,cascadelake,avx2,float,0
18,5_0_1_0_0,4.0,cascadelake,avx2,float,0
19,5_0_1_0_1,3.0,cascadelake,avx2,float,0
20,5_0_1_1_0,1.5,cascadelake,avx2,float,0
21,5_0_1_1_1,1.0,cascadelake,avx2,float,0
22,5_1_0_0_0,4.0,cascadelake,avx2,float,0
23,5_1_0_0_1,3.0,cascadelake,avx2,float,0
24,5_1_0_1_0,4.0,cascadelake,avx2,float,0
25,5_1_0_1_1,2.0,cascadelake,avx2,float,0
26,5_1_1_0_0,4.0,cascadelake,avx2,float,0
27,5_1_1_0_1,3.0,cascadelake,avx2,float,0
28,5_1_1_1_0,1.5,cascadelake,avx2,float,0
29,5_1_1_1_1,1.0,cascadelake,avx2,float,0
30,6_0_0_0_0_0,5.0,cascadelake,avx2,float,0
31,6_0_0_0_0_1,4.0,cascadelake,avx2,float,0
32,6_0_0_0_1_0,5.0,cascadelake,avx2,float,0
33,6_0_0_0_1_1,3.0,cascadelake,avx2,float,0
34,6_0_0_1_0_0,5.0,cascadelake,avx2,float,0
35,6_0_0_1_0_1,4.0,cascadelake,avx2,float,0
36,6_0_0_1_1_0,2.0,cascadelake,avx2,float,0
37,6_0_0_1_1_1,2.0,cascadelake,avx2,float,0
38,6_0_1_0_0_0,5.0,cascadelake,avx2,float,0
39,6_0_1_0_0_1,4.0,cascadelake,avx2,float,0
40,6_0_1_0_1_0,5.0,cascadelake,avx2,float,0
41,6_0_1_0_1_1,3.0,cascadelake,avx2,float,0
42,6_0_1_1_0_0,5.0,cascadelake,avx2,float,0
43,6_0_1_1_0_1,4.0,cascadelake,avx2,float,0
44,6_0_1_1_1_0,2.0,cascadelake,avx2,float,0
45,6_0_1_1_1_1,2.0,cascadelake,avx2,float,0
46,6_1_0_0_0_0,4.0,cascadelake,avx2,float,0
47,6_1_0_0_0_1,3.0,cascadelake,avx2,float,0
48,6_1_0_0_1_0,4.0,cascadelake,avx2,float,0
49,6_1_0_0_1_1,2.0,cascadelake,avx2,float,0
50,6_1_0_1_0_0,4.0,cascadelake,avx2,float,0
51,6_1_0_1_0_1,3.0,cascadelake,avx2,float,0
52,6_1_0_1_1_0,1.5,cascadelake,avx2,float,0
53,6_1_0_1_1_1,1.0,cascadelake,avx2,float,0
54,6_1_1_0_0_0,4.0,cascadelake,avx2,float,0
55,6_1_1_0_0_1,3.0,cascadelake,avx2,float,0
56,6_1_1_0_1_0,4.0,cascadelake,avx2,float,0
57,6_1_1_0_1_1,2.0,cascadelake,avx2,float,0
58,6_1_1_1_0_0,4.0,cascadelake,avx2,float,0
59,6_1_1_1_0_1,3.0,cascadelake,avx2,float,0
60,6_1_1_1_1_0,1.5,cascadelake,avx2,float,0
61,6_1_1_1_1_1,1.0,cascadelake,avx2,float,0
62,7_0_0_0_0_0_0,6.0,cascadelake,avx2,float,0
63,7_0_0_0_0_0_1,5.0,cascadelake,avx2,float,0
64,7_0_0_0_0_1_0,6.0,cascadelake,avx2,float,0
65,7_0_0_0_0_1_1,4.0,cascadelake,avx2,float,0
66,7_0_0_0_1_0_0,6.0,cascadelake,avx2,float,0
67,7_0_0_0_1_0_1,5.0,cascadelake,avx2,float,0
68,7_0_0_0_1_1_0,3.0,cascadelake,avx2,float,0
69,7_0_0_0_1_1_1,3.0,cascadelake,avx2,float,0
70,7_0_0_1_0_0_0,6.0,cascadelake,avx2,float,0
71,7_0_0_1_0_0_1,5.0,cascadelake,avx2,float,0
72,7_0_0_1_0_1_0,6.0,cascadelake,avx2,float,0
73,7_0_0_1_0_1_1,4.0,cascadelake,avx2,float,0
74,7_0_0_1_1_0_0,6.0,cascadelake,avx2,float,0
75,7_0_0_1_1_0_1,5.0,cascadelake,avx2,float,0
76,7_0_0_1_1_1_0,3.0,cascadelake,avx2,float,0
77,7_0_0_1_1_1_1,3.0,cascadelake,avx2,float,0
78,7_0_1_0_0_0_0,5.0,cascadelake,avx2,float,0
79,7_0_1_0_0_0_1,4.0,cascadelake,avx2,float,0
80,7_0_1_0_0_1_0,5.0,cascadelake,avx2,float,0
81,7_0_1_0_0_1_1,3.0,cascadelake,avx2,float,0
82,7_0_1_0_1_0_0,5.0,cascadelake,avx2,float,0
83,7_0_1_0_1_0_1,4.0,cascadelake,avx2,float,0
84,7_0_1_0_1_1_0,2.0,cascadelake,avx2,float,0
85,7_0_1_0_1_1_1,2.0,cascadelake,avx2,float,0
86,7_0_1_1_0_0_0,5.0,cascadelake,avx2,float,0
87,7_0_1_1_0_0_1,4.0,cascadelake,avx2,float,0
88,7_0_1_1_0_1_0,5.0,cascadelake,avx2,float,0
89,7_0_1_1_0_1_1,3.0,cascadelake,avx2,float,0
90,7_0_1_1_1_0_0,5.0,cascadelake,avx2,float,0
91,7_0_1_1_1_0_1,4.0,cascadelake,avx2,float,0
92,7_0_1_1_1_1_0,2.0,cascadelake,avx2,float,0
93,7_0_1_1_1_1_1,2.0,cascadelake,avx2,float,0
94,7_1_0_0_0_0_0,4.0,cascadelake,avx2,float,0
95,7_1_0_0_0_0_1,3.0,cascadelake,avx2,float,0
96,7_1_0_0_0_1_0,4.0,cascadelake,avx2,float,0
97,7_1_0_0_0_1_1,2.0,cascadelake,avx2,float,0
98,7_1_0_0_1_0_0,4.0,cascadelake,avx2,float,0
99,7_1_0_0_1_0_1,3.0,cascadelake,avx2,float,0
100,7_1_0_0_1_1_0,2.0,cascadelake,avx2,float,0
101,7_1_0_0_1_1_1,1.5,cascadelake,avx2,float,0
102,7_1_0_1_0_0_0,4.0,cascadelake,avx2,float,0
103,7_1_0_1_0_0_1,3.0,cascadelake,avx2,float,0
104,7_1_0_1_0_1_0,4.0,cascadelake,avx2,float,0
105,7_1_0_1_0_1_1,2.0,cascadelake,avx2,float,0
106,7_1_0_1_1_0_0,4.0,cascadelake,avx2,float,0
107,7_1_0_1_1_0_1,3.0,cascadelake,avx2,float,0
108,7_1_0_1_1_1_0,2.0,cascadelake,avx2,float,0
109,7_1_0_1_1_1_1,1.5,cascadelake,avx2,float,0
110,7_1_1_0_0_0_0,4.0,cascadelake,avx2,float,0
111,7_1_1_0_0_0_1,3.0,cascadelake,avx2,float,0
112,7_1_1_0_0_1_0,4.0,cascadelake,avx2,float,0
113,7_1_1_0_0_1_1,2.0,cascadelake,avx2,float,0
114,7_1_1_0_1_0_0,4.0,cascadelake,avx2,float,0
115,7_1_1_0_1_0_1,3.0,cascadelake,avx2,float,0
116,7_1_1_0_1_1_0,1.5,cascadelake,avx2,float,0
117,7_1_1_0_1_1_1,1.0,cascadelake,avx2,float,0
118,7_1_1_1_0_0_0,4.0,cascadelake,avx2,float,0
119,7_1_1_1_0_0_1,3.0,cascadelake,avx2,float,0
120,7_1_1_1_0_1_0,4.0,cascadelake,avx2,float,0
121,7_1_1_1_0_1_1,2.0,cascadelake,avx2,float,0
122,7_1_1_1_1_0_0,4.0,cascadelake,avx2,float,0
123,7_1_1_1_1_0_1,3.0,cascadelake,avx2,float,0
124,7_1_1_1_1_1_0,1.5,cascadelake,avx2,float,0
125,7_1_1_1_1_1_1,1.0,cascadelake,avx2,float,0
126,8_0_0_0_0_0_0_0,7.0,cascadelake,avx2,float,0
127,8_0_0_0_0_0_0_1,6.0,cascadelake,avx2,float,0
128,8_0_0_0_0_0_1_0,7.0,cascadelake,avx2,float,0
129,8_0_0_0_0_0_1_1,5.0,cascadelake,avx2,float,0
130,8_0_0_0_0_1_0_0,7.0,cascadelake,avx2,float,0
131,8_0_0_0_0_1_0_1,6.0,cascadelake,avx2,float,0
132,8_0_0_0_0_1_1_0,4.0,cascadelake,avx2,float,0
133,8_0_0_0_0_1_1_1,4.0,cascadelake,avx2,float,0
134,8_0_0_0_1_0_0_0,7.0,cascadelake,avx2,float,0
135,8_0_0_0_1_0_0_1,6.0,cascadelake,avx2,float,0
136,8_0_0_0_1_0_1_0,7.0,cascadelake,avx2,float,0
137,8_0_0_0_1_0_1_1,5.0,cascadelake,avx2,float,0
138,8_0_0_0_1_1_0_0,7.0,cascadelake,avx2,float,0
139,8_0_0_0_1_1_0_1,6.0,cascadelake,avx2,float,0
140,8_0_0_0_1_1_1_0,4.0,cascadelake,avx2,float,0
141,8_0_0_0_1_1_1_1,4.0,cascadelake,avx2,float,0
142,8_0_0_1_0_0_0_0,6.0,cascadelake,avx2,float,0
143,8_0_0_1_0_0_0_1,5.0,cascadelake,avx2,float,0
144,8_0_0_1_0_0_1_0,6.0,cascadelake,avx2,float,0
145,8_0_0_1_0_0_1_1,4.0,cascadelake,avx2,float,0
146,8_0_0_1_0_1_0_0,6.0,cascadelake,avx2,float,0
147,8_0_0_1_0_1_0_1,5.0,cascadelake,avx2,float,0
148,8_0_0_1_0_1_1_0,3.0,cascadelake,avx2,float,0
149,8_0_0_1_0_1_1_1,3.0,cascadelake,avx2,float,0
150,8_0_0_1_1_0_0_0,6.0,cascadelake,avx2,float,0
151,8_0_0_1_1_0_0_1,5.0,cascadelake,avx2,float,0
152,8_0_0_1_1_0_1_0,6.0,cascadelake,avx2,float,0
153,8_0_0_1_1_0_1_1,4.0,cascadelake,avx2,float,0
154,8_0_0_1_1_1_0_0,6.0,cascadelake,avx2,float,0
155,8_0_0_1_1_1_0_1,5.0,cascadelake,avx2,float,0
156,8_0_0_1_1_1_1_0,3.0,cascadelake,avx2,float,0
157,8_0_0_1_1_1_1_1,3.0,cascadelake,avx2,float,0
158,8_0_1_0_0_0_0_0,7.0,cascadelake,avx2,float,0
159,8_0_1_0_0_0_0_1,6.0,cascadelake,avx2,float,0
160,8_0_1_0_0_0_1_0,7.0,cascadelake,avx2,float,0
161,8_0_1_0_0_0_1_1,5.0,cascadelake,avx2,float,0
162,8_0_1_0_0_1_0_0,7.0,cascadelake,avx2,float,0
163,8_0_1_0_0_1_0_1,6.0,cascadelake,avx2,float,0
164,8_0_1_0_0_1_1_0,4.0,cascadelake,avx2,float,0
165,8_0_1_0_0_1_1_1,4.0,cascadelake,avx2,float,0
166,8_0_1_0_1_0_0_0,7.0,cascadelake,avx2,float,0
167,8_0_1_0_1_0_0_1,6.0,cascadelake,avx2,float,0
168,8_0_1_0_1_0_1_0,7.0,cascadelake,avx2,float,0
169,8_0_1_0_1_0_1_1,5.0,cascadelake,avx2,float,0
170,8_0_1_0_1_1_0_0,7.0,cascadelake,avx2,float,0
171,8_0_1_0_1_1_0_1,6.0,cascadelake,avx2,float,0
172,8_0_1_0_1_1_1_0,4.0,cascadelake,avx2,float,0
173,8_0_1_0_1_1_1_1,4.0,cascadelake,avx2,float,0
174,8_0_1_1_0_0_0_0,5.0,cascadelake,avx2,float,0
175,8_0_1_1_0_0_0_1,4.0,cascadelake,avx2,float,0
176,8_0_1_1_0_0_1_0,5.0,cascadelake,avx2,float,0
177,8_0_1_1_0_0_1_1,3.0,cascadelake,avx2,float,0
178,8_0_1_1_0_1_0_0,5.0,cascadelake,avx2,float,0
179,8_0_1_1_0_1_0_1,4.0,cascadelake,avx2,float,0
180,8_0_1_1_0_1_1_0,2.0,cascadelake,avx2,float,0
181,8_0_1_1_0_1_1_1,2.0,cascadelake,avx2,float,0
182,8_0_1_1_1_0_0_0,5.0,cascadelake,avx2,float,0
183,8_0_1_1_1_0_0_1,4.0,cascadelake,avx2,float,0
184,8_0_1_1_1_0_1_0,5.0,cascadelake,avx2,float,0
185,8_0_1_1_1_0_1_1,3.0,cascadelake,avx2,float,0
186,8_0_1_1_1_1_0_0,5.0,cascadelake,avx2,float,0
187,8_0_1_1_1_1_0_1,4.0,cascadelake,avx2,float,0
188,8_0_1_1_1_1_1_0,2.0,cascadelake,avx2,float,0
189,8_0_1_1_1_1_1_1,2.0,cascadelake,avx2,float,0
190,8_1_0_0_0_0_0_0,7.0,cascadelake,avx2,float,0
191,8_1_0_0_0_0_0_1,6.0,cascadelake,avx2,float,0
192,8_1_0_0_0_0_1_0,7.0,cascadelake,avx2,float,0
193,8_1_0_0_0_0_1_1,5.0,cascadelake,avx2,float,0
194,8_1_0_0_0_1_0_0,7.0,cascadelake,avx2,float,0
195,8_1_0_0_0_1_0_1,6.0,cascadelake,avx2,float,0
196,8_1_0_0_0_1_1_0,4.0,cascadelake,avx2,float,0
197,8_1_0_0_0_1_1_1,4.0,cascadelake,avx2,float,0
198,8_1_0_0_1_0_0_0,7.0,cascadelake,avx2,float,0
199,8_1_0_0_1_0_0_1,6.0,cascadelake,avx2,float,0
200,8_1_0_0_1_0_1_0,7.0,cascadelake,avx2,float,0
201,8_1_0_0_1_0_1_1,5.0,cascadelake,avx2,float,0
202,8_1_0_0_1_1_0_0,7.0,cascadelake,avx2,float,0
203,8_1_0_0_1_1_0_1,6.0,cascadelake,avx2,float,0
204,8_1_0_0_1_1_1_0,4.0,cascadelake,avx2,float,0
205,8_1_0_0_1_1_1_1,4.0,cascadelake,avx2,float,0
206,8_1_0_1_0_0_0_0,6.0,cascadelake,avx2,float,0
207,8_1_0_1_0_0_0_1,5.0,cascadelake,avx2,float,0
208,8_1_0_1_0_0_1_0,6.0,cascadelake,avx2,float,0
209,8_1_0_1_0_0_1_1,4.0,cascadelake,avx2,float,0
210,8_1_0_1_0_1_0_0,6.0,cascadelake,avx2,float,0
211,8_1_0_1_0_1_0_1,5.0,cascadelake,avx2,float,0
212,8_1_0_1_0_1_1_0,3.0,cascadelake,avx2,float,0
213,8_1_0_1_0_1_1_1,3.0,cascadelake,avx2,float,0
214,8_1_0_1_1_0_0_0,6.0,cascadelake,avx2,float,0
215,8_1_0_1_1_0_0_1,5.0,cascadelake,avx2,float,0
216,8_1_0_1_1_0_1_0,6.0,cascadelake,avx2,float,0
217,8_1_0_1_1_0_1_1,4.0,cascadelake,avx2,float,0
218,8_1_0_1_1_1_0_0,6.0,cascadelake,avx2,float,0
